Iteration,Odd Object,Weight,All Objects,,TEST
1244,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1245,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1246,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
1247,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
1248,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1249,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1250,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
1251,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
1252,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
1253,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
1254,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1255,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1256,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
1257,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
1258,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1259,6,Heavier,[2 2 2 2 2 3 2 2 2 2 2 2],,PASS
1260,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1261,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1262,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1263,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1264,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
1265,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
1266,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
1267,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1268,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
1269,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
1270,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
1271,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
1272,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1273,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
1274,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1275,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
1276,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
1277,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1278,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1279,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1280,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
1281,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1282,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
1283,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
1284,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
1285,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1286,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
1287,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
1288,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1289,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
1290,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
1291,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
1292,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1293,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1294,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1295,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
1296,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
1297,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
1298,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1299,6,Heavier,[2 2 2 2 2 3 2 2 2 2 2 2],,PASS
1300,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
1301,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
1302,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
1303,6,Heavier,[2 2 2 2 2 3 2 2 2 2 2 2],,PASS
1304,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1305,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
1306,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
1307,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1308,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
1309,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
1310,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1311,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1312,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1313,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1314,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1315,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1316,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
1317,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
1318,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1319,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1320,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
1321,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
1322,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
1323,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
1324,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
1325,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
1326,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
1327,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1328,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1329,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
1330,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
1331,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
1332,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
1333,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
1334,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
1335,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
1336,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1337,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1338,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1339,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
1340,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1341,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
1342,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
1343,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
1344,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1345,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1346,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1347,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
1348,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1349,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
1350,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
1351,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
1352,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
1353,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
1354,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1355,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1356,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1357,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
1358,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1359,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1360,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
1361,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
1362,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
1363,6,Heavier,[2 2 2 2 2 3 2 2 2 2 2 2],,PASS
1364,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
1365,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1366,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1367,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1368,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1369,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
1370,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
1371,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
1372,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
1373,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1374,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
1375,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
1376,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
1377,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
1378,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
1379,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1380,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1381,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1382,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1383,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1384,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
1385,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1386,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
1387,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1388,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1389,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1390,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1391,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
1392,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
1393,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1394,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1395,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1396,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
1397,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
1398,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1399,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
1400,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1401,6,Heavier,[2 2 2 2 2 3 2 2 2 2 2 2],,PASS
1402,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1403,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1404,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
1405,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
1406,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
1407,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1408,6,Heavier,[2 2 2 2 2 3 2 2 2 2 2 2],,PASS
1409,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1410,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
1411,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
1412,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
1413,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
1414,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
1415,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
1416,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1417,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
1418,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1419,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
1420,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
1421,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
1422,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1423,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
1424,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1425,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
1426,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1427,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1428,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1429,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1430,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1431,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1432,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
1433,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1434,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
1435,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
1436,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1437,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
1438,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1439,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
1440,6,Heavier,[2 2 2 2 2 3 2 2 2 2 2 2],,PASS
1441,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1442,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
1443,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
1444,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1445,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
1446,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1447,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1448,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1449,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
1450,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
1451,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
1452,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
1453,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
1454,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1455,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
1456,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1457,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1458,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1459,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
1460,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1461,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1462,6,Heavier,[2 2 2 2 2 3 2 2 2 2 2 2],,PASS
1463,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
1464,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1465,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
1466,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
1467,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1468,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
1469,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
1470,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1471,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1472,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1473,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
1474,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1475,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
1476,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
1477,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
1478,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1479,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1480,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1481,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1482,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1483,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1484,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
1485,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
1486,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
1487,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
1488,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1489,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1490,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
1491,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
1492,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
1493,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
1494,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1495,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1496,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
1497,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
1498,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1499,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
1500,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
1501,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
1502,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1503,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1504,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
1505,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
1506,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
1507,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1508,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1509,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
1510,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
1511,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1512,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
1513,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
1514,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
1515,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
1516,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1517,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1518,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
1519,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
1520,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1521,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1522,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
1523,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1524,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
1525,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1526,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1527,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
1528,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1529,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1530,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
1531,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
1532,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
1533,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
1534,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
1535,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
1536,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1537,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
1538,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1539,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
1540,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
1541,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
1542,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
1543,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
1544,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
1545,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1546,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
1547,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
1548,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
1549,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
1550,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
1551,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1552,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
1553,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1554,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
1555,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
1556,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1557,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1558,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1559,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
1560,6,Heavier,[2 2 2 2 2 3 2 2 2 2 2 2],,PASS
1561,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
1562,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1563,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
1564,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1565,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
1566,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1567,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
1568,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
1569,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1570,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1571,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
1572,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
1573,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
1574,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
1575,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
1576,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
1577,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
1578,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
1579,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
1580,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1581,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
1582,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
1583,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
1584,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
1585,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
1586,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
1587,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
1588,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
1589,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1590,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
1591,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
1592,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
